"user_id","dt","inc_amt"
1e+05,2017-03-01,91.91
100004,2017-03-01,249.23
100005,2017-03-01,83.53
100007,2017-03-01,15.64
100009,2017-03-01,10.76
100010,2017-03-01,29.59
100011,2017-03-01,521.21
100014,2017-03-01,75.94
100015,2017-03-01,2791.18
100019,2017-03-01,27.11
100020,2017-03-01,34.36
100022,2017-03-01,110.36
100026,2017-03-01,31.44
100027,2017-03-01,52.02
100030,2017-03-01,11.15
100032,2017-03-01,1903.12
100033,2017-03-01,73.48
100035,2017-03-01,180.25
100040,2017-03-01,72.36
100041,2017-03-01,114.86
100043,2017-03-01,61.27
100045,2017-03-01,38.82
100047,2017-03-01,23.49
100049,2017-03-01,4.51
100050,2017-03-01,33.39
100051,2017-03-01,20.42
100053,2017-03-01,363.45
100054,2017-03-01,22.96
100056,2017-03-01,80.65
100058,2017-03-01,60.48
100059,2017-03-01,407.31
100060,2017-03-01,61
100061,2017-03-01,12.38
100063,2017-03-01,49.39
100064,2017-03-01,153.82
100067,2017-03-01,29.42
100068,2017-03-01,13.1
100069,2017-03-01,351.9
100070,2017-03-01,119.97
100072,2017-03-01,260
100077,2017-03-01,15.75
100079,2017-03-01,214.77
100081,2017-03-01,44.81
100082,2017-03-01,19.25
100084,2017-03-01,100.59
100085,2017-03-01,22.01
100086,2017-03-01,37.63
100087,2017-03-01,56.34
100088,2017-03-01,21.6
100089,2017-03-01,183.25
100091,2017-03-01,238.41
100096,2017-03-01,25.86
100102,2017-03-01,36.14
100103,2017-03-01,88.1
100104,2017-03-01,43.71
100107,2017-03-01,35.62
100108,2017-03-01,717.24
100110,2017-03-01,12.87
100111,2017-03-01,21.11
100113,2017-03-01,230.47
100114,2017-03-01,141.47
100116,2017-03-01,29.49
100120,2017-03-01,63.87
100121,2017-03-01,60.77
100124,2017-03-01,284.5
100125,2017-03-01,37.94
100126,2017-03-01,30.6
100130,2017-03-01,5580.56
100131,2017-03-01,17.42
100135,2017-03-01,34.94
100136,2017-03-01,91.04
100139,2017-03-01,69.82
100141,2017-03-01,131.96
100143,2017-03-01,25.76
100144,2017-03-01,15.81
100145,2017-03-01,57.2
100149,2017-03-01,23.14
100150,2017-03-01,22.75
100151,2017-03-01,17.51
100152,2017-03-01,91.21
100153,2017-03-01,57.26
100154,2017-03-01,29.58
100156,2017-03-01,69.5
100162,2017-03-01,93.25
100166,2017-03-01,18.01
100157,2017-03-01,17.01
100168,2017-03-01,418.07
100173,2017-03-01,47.85
100174,2017-03-01,38.29
100175,2017-03-01,36.24
100176,2017-03-01,3794.44
100177,2017-03-01,54.51
100178,2017-03-01,50.1
100179,2017-03-01,19.38
100180,2017-03-01,20.46
100183,2017-03-01,65.12
100187,2017-03-01,27.15
100179,2017-03-01,10.75
100191,2017-03-01,23.06
100192,2017-03-01,56.09
100159,2017-03-01,24.36
100194,2017-03-01,1151.35
100196,2017-03-01,108.62
100197,2017-03-01,15.32
100198,2017-03-01,20.08
100200,2017-03-01,41.41
100202,2017-03-01,210.12
100207,2017-03-01,69.74
100208,2017-03-01,59.38
100213,2017-03-01,17.05
100218,2017-03-01,1728.57
100219,2017-03-01,13.69
100223,2017-03-01,45.58
100207,2017-03-01,23.63
100226,2017-03-01,20.88
100228,2017-03-01,44.29
100229,2017-03-01,66.33
100230,2017-03-01,30.92
100232,2017-03-01,169.92
100233,2017-03-01,34.72
100234,2017-03-01,86.16
100235,2017-03-01,51.35
100242,2017-03-01,28.45
100246,2017-03-01,14.95
100247,2017-03-01,103.98
100252,2017-03-01,41.54
100257,2017-03-01,12.45
100258,2017-03-01,94.46
100259,2017-03-01,47.82
100262,2017-03-01,74.88
100265,2017-03-01,28.09
100270,2017-03-01,28.49
100272,2017-03-01,17.71
100273,2017-03-01,124.35
100274,2017-03-01,26.5
100277,2017-03-01,85.46
100284,2017-03-01,34.32
100286,2017-03-01,72.99
100287,2017-03-01,96.15
100288,2017-03-01,16.66
100291,2017-03-01,74.07
100292,2017-03-01,15.42
100294,2017-03-01,31.7
100296,2017-03-01,16.86
100297,2017-03-01,102.83
100300,2017-03-01,117.64
100301,2017-03-01,12.26
100302,2017-03-01,37.86
100303,2017-03-01,582.06
100305,2017-03-01,15.76
100307,2017-03-01,15.38
100310,2017-03-01,19.36
100311,2017-03-01,273.42
100237,2017-03-01,35.43
100312,2017-03-01,53.47
100316,2017-03-01,33.55
100307,2017-03-01,441.27
100323,2017-03-01,42.56
100324,2017-03-01,14.51
100328,2017-03-01,502.9
100329,2017-03-01,83.04
100332,2017-03-01,70.82
100334,2017-03-01,21.17
100339,2017-03-01,2123.17
100341,2017-03-01,11.15
100342,2017-03-01,38.92
100343,2017-03-01,43.34
100344,2017-03-01,17.83
100345,2017-03-01,171
100348,2017-03-01,24.89
100350,2017-03-01,60.31
100351,2017-03-01,72.4
100352,2017-03-01,27.45
100353,2017-03-01,29.23
100356,2017-03-01,233.65
100361,2017-03-01,21.82
100363,2017-03-01,110.64
100363,2017-03-01,42.19
100370,2017-03-01,138.62
100372,2017-03-01,11.15
100373,2017-03-01,17.41
100374,2017-03-01,702.5
100375,2017-03-01,409.09
100377,2017-03-01,86.03
100378,2017-03-01,138.74
100381,2017-03-01,67.02
100382,2017-03-01,14.82
100383,2017-03-01,12.82
100385,2017-03-01,52.21
100387,2017-03-01,64.02
100389,2017-03-01,30.11
100391,2017-03-01,22.61
100393,2017-03-01,11.67
100395,2017-03-01,49.96
100396,2017-03-01,159.25
100397,2017-03-01,70.04
100398,2017-03-01,32.11
100400,2017-03-01,101.63
100401,2017-03-01,57.38
100402,2017-03-01,16.35
100404,2017-03-01,516.94
100406,2017-03-01,37.12
100407,2017-03-01,151.17
100408,2017-03-01,15.09
100409,2017-03-01,21.72
100410,2017-03-01,14.94
100412,2017-03-01,42.17
100414,2017-03-01,34.45
100416,2017-03-01,74.19
100417,2017-03-01,25.16
100423,2017-03-01,45.87
100424,2017-03-01,24.64
100425,2017-03-01,26.78
100426,2017-03-01,30.34
100428,2017-03-01,25.65
100429,2017-03-01,27.52
100431,2017-03-01,14.53
100432,2017-03-01,75
100433,2017-03-01,378.18
100435,2017-03-01,23.43
100436,2017-03-01,1386.67
100441,2017-03-01,18.19
100443,2017-03-01,16.47
100444,2017-03-01,181.42
100446,2017-03-01,23.34
100449,2017-03-01,93.14
100451,2017-03-01,138.4
100452,2017-03-01,10.26
100454,2017-03-01,57.18
100455,2017-03-01,38.36
100456,2017-03-01,14.63
100457,2017-03-01,13.64
100461,2017-03-01,79.45
100464,2017-03-01,21.75
100465,2017-03-01,25.4
100473,2017-03-01,24.5
100476,2017-03-01,54.86
100477,2017-03-01,3470
100479,2017-03-01,166.19
100481,2017-03-01,34.72
100482,2017-03-01,35.94
100486,2017-03-01,114.27
100487,2017-03-01,26
100488,2017-03-01,78.03
100490,2017-03-01,15.77
100495,2017-03-02,64.64
